day,h,t,rh,ws,wd,vis
2021-03-01,0,5.2,62.4,1.0,320.0,10.0
2021-03-01,3,5.1,84.5,0.0,0.0,4.5
2021-03-01,6,4.7,90.0,5.0,90.0,4.5
2021-03-01,9,4.7,93.9,2.0,360.0,4.5
2021-03-01,12,5.5,93.9,2.0,230.0,4.5
2021-03-01,15,5.5,88.8,6.0,50.0,4.5
2021-03-01,18,3.3,86.7,3.0,50.0,4.5
2021-03-01,21,2.3,87.2,1.0,140.0,4.5
2021-03-02,0,2.1,75.9,0.0,0.0,10.0
2021-03-02,3,1.6,75.8,0.0,0.0,10.0
2021-03-02,6,0.9,73.5,0.0,0.0,10.0
2021-03-02,9,1.9,72.6,2.0,320.0,12.0
2021-03-02,12,5.3,59.7,1.0,320.0,12.0
2021-03-02,15,7.5,44.5,4.0,320.0,15.0
2021-03-02,18,5.5,51.1,2.0,90.0,12.0
2021-03-02,21,1.9,54.1,1.0,360.0,10.0
2021-03-03,0,0.4,65.0,0.0,0.0,10.0
2021-03-03,3,-0.5,64.3,1.0,50.0,10.0
2021-03-03,6,-1.4,74.2,0.0,0.0,10.0
2021-03-03,9,1.0,79.2,2.0,90.0,15.0
2021-03-03,12,4.9,64.6,3.0,140.0,15.0
2021-03-03,15,5.1,62.8,3.0,140.0,15.0
2021-03-03,18,4.6,62.7,2.0,50.0,12.0
2021-03-03,21,2.7,63.2,2.0,140.0,10.0
2021-03-04,0,2.3,61.2,3.0,140.0,10.0
2021-03-04,3,2.2,60.2,3.0,140.0,10.0
2021-03-04,6,3.7,61.5,3.0,140.0,10.0
2021-03-04,9,4.9,64.6,1.0,90.0,10.0
2021-03-04,12,7.1,61.5,1.0,140.0,15.0
2021-03-04,15,8.8,58.4,1.0,140.0,12.0
2021-03-04,18,8.6,55.5,1.0,140.0,12.0
2021-03-04,21,5.9,64.9,1.0,90.0,10.0
2021-03-05,0,4.1,73.5,1.0,90.0,10.0
2021-03-05,3,3.3,77.8,0.0,0.0,10.0
2021-03-05,6,2.9,78.3,0.0,0.0,10.0
2021-03-05,9,5.9,82.8,0.0,0.0,10.0
2021-03-05,12,9.9,65.8,0.0,0.0,10.0
2021-03-05,15,14.7,57.5,2.0,270.0,15.0
2021-03-05,18,10.9,73.7,2.0,320.0,10.0
2021-03-05,21,7.4,79.5,0.0,0.0,10.0
2021-03-06,0,6.4,83.4,2.0,140.0,10.0
2021-03-06,3,5.1,55.8,2.0,140.0,10.0
2021-03-06,6,2.5,83.5,2.0,140.0,10.0
2021-03-06,9,2.5,83.5,1.0,270.0,10.0
