case_id,date,station_id,station_name,region,zone_type,mx,mn,ng,hm,ws,pr,hw,tn
gs0,2025-07-07,288,밀양,경상남도 밀양시,inland,38.9,25.6,25.3,69.6,1.5,0,1,1
gs1,2025-07-06,130,울진,경상북도 울진군,coastal,38.6,26.2,26.2,61.4,2.1,0,1,1
gs2,2025-07-07,860,신암,대구광역시 동구,urban,38.5,27.9,26.3,58.6,1.5,0,1,1
gs3,2025-07-07,935,청덕,경상남도 합천군,inland,38.2,24.3,24.2,78.7,2,0,1,
gs4,2025-07-07,278,의성,경상북도 의성군,inland,38.1,23.7,23.2,81.3,0.9,42.4,1,
gs5,2025-07-07,828,달성,대구광역시 달성군,basin,38.1,25.5,24.6,80.7,1.6,0,1,
gs6,2025-07-07,927,송백,경상남도 밀양시,inland,38.1,22.9,22.9,76.9,1.1,0,1,
gs7,2025-07-07,991,옥포,대구광역시 달성군,basin,38.1,24.9,26,78.9,1.5,5.5,1,1
gs8,2025-07-07,905,양산상북,경상남도 양산시,inland,38,23.7,23.3,70.8,1.7,0,1,
gs9,2025-08-24,830,기계,경상북도 포항시,inland,37.9,23.1,24.4,59.1,1.1,0,1,
gs10,2025-07-07,285,합천,경상남도 합천군,inland,37.7,23.9,24.5,75.4,0.8,0,1,
gs11,2025-08-01,845,대구북구,대구광역시 북구,urban,37.7,23.9,25.2,64.7,1,0,1,1
gs12,2025-07-07,257,양산시,경상남도 양산시,inland,37.6,25.9,26.3,70.8,1.6,0,1,1
gs13,2025-07-07,143,대구,대구광역시 동구,urban,37.4,26.5,25.8,58.7,2,0,1,1
gs14,2025-07-07,846,대구서구,대구광역시 서구,urban,37.4,25.9,26.1,64.9,2.1,0,1,1
gs15,2025-07-07,915,삼가,경상남도 합천군,inland,37.4,22.9,24.2,80.4,1.7,0,1,
gs16,2025-07-05,808,호미곶,경상북도 포항시,coastal,37.2,27.4,27.2,55,3.7,0,1,1
gs17,2025-07-07,992,하빈,대구광역시 달성군,basin,37.2,24.1,25.9,74.1,1.6,0,1,1
gs18,2025-07-27,843,금강송,경상북도 울진군,inland,36.8,23.6,25.3,63.6,1.4,0,1,1
gs19,2025-07-03,138,포항,경상북도 포항시,coastal,36.6,28.1,27.5,58.7,2.4,0,1,1
gs20,2025-07-05,800,평해,경상북도 울진군,coastal,36.6,24.5,22.6,61.6,2.5,0,1,
gs21,2025-08-30,995,오천,경상북도 포항시,inland,36.6,24.6,23.7,70.9,1.2,0,1,
gs22,2025-08-24,804,청하,경상북도 포항시,coastal,36.4,23.3,24.1,73.9,1.8,0,1,
gs23,2025-07-07,922,단장,경상남도 밀양시,inland,36.4,22.1,21.9,74.1,0.9,0,1,
gs24,2025-07-02,152,울산,울산광역시 중구,coastal,36.2,26,25.9,65.8,1.6,0,1,1
gs25,2025-08-19,852,죽변,경상북도 울진군,coastal,36.1,26.7,25.6,57.4,2.1,0,1,1
gs26,2025-08-02,271,봉화,경상북도 봉화군,mountain,35.4,20.6,21.5,72.5,1.3,0,1,
gs27,2025-07-08,159,부산,부산광역시 중구,coastal,34.7,26.4,25.3,64.9,2.7,0,1,1
gs28,2025-07-29,162,통영,경상남도 통영시,coastal,34.4,25,25,69.4,2.6,0,1,1
gs29,2025-07-03,311,가야산,경상남도 합천군,mountain,32.1,21.2,18,80.7,0.6,0,,
