DATES:2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,2025-05-28,2025-05-29,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
d,s,mx,mn,ng,hm,ws,pr,hw,tn,er,pw
0,130,19.8,12.7,11,64.3,2.6,7.3,,,0,SW
0,138,24.2,15.1,11.4,58.3,3.8,19.4,,,0,SW
0,143,23.6,11,10.5,63.3,1.9,28.1,,,0.2,S
0,152,22.5,12.9,10.2,72.9,3.3,12.6,,,0,S
0,159,20.6,13.2,10.4,81.1,4.9,18.9,,,0,SW
0,162,20.3,11.3,9.1,88.3,3.7,25,,,0.1,S
0,257,23.7,10,9.6,81.1,2.4,22.7,,,0,SW
0,271,21.3,3.4,4.2,80.6,1.2,22.2,,,0.1,S
0,278,24.3,5.4,6.9,76,1.6,30.2,,,0,SW
0,285,23.5,7.8,7.5,86.4,1,41,,,0.1,SW
0,288,23.3,8.9,8.6,74.7,1.8,14,,,0.1,S
0,311,18.1,5,2.8,79.4,0.6,31.5,,,0.2,S
0,800,20.6,9.6,11.3,73.4,4.2,13.5,,,0.1,S
0,804,25.3,14,10.9,59.9,4.9,22.5,,,0,SW
0,808,22,12.9,11.2,73.1,3.9,16.5,,,0,S
0,828,23.3,12.6,7.8,79.9,3,36.5,,,0,S
0,830,26,5.4,10.3,65.7,2.3,28,,,0.1,SW
0,843,24.3,11.5,9.2,57,2.2,11,,,0.1,W
0,845,24.3,8.5,7.2,68.9,1.2,37,,,0.3,S
0,846,22.9,11.6,8.3,68.7,2.1,32,,,0.1,SW
0,852,19,12.4,10.7,69.4,3.8,6.5,,,0,S
0,860,23.7,12.8,10.6,62.5,1.5,31,,,0.2,NW
0,905,22.2,9.8,7.4,76.3,2.4,22.5,,,0.1,S
0,915,22.6,6.1,5.1,91.7,2.1,35,,,0,W
0,922,20.8,7.8,6.5,80.7,1.4,31.5,,,0.4,SE
0,927,23.1,6.9,6.6,78.7,2.3,29.5,,,0.2,SW
0,935,22.5,6.4,5.9,80,1.8,30.5,,,0.3,SW
0,991,23.3,11.2,7.1,74.2,3.3,40,,,0.1,W
0,992,22.8,8,6.2,78.3,2.2,33.5,,,0.2,SW
0,995,22.8,13.7,10,65.5,2.4,15,,,0,SW
1,130,18.2,10.7,9.6,59.4,2.4,7.3,,,0.4,SW
1,138,21.1,11.4,12,55,3.1,19.4,,,0.2,W
1,143,20.9,10.5,10.7,44.2,3.5,28.1,,,0,W
1,152,20.9,10.2,11.4,52.9,3,12.6,,,0.1,NW
1,159,21.2,10.4,14.2,54.8,3.3,19,,,0.1,SW
1,162,20,9.1,13.2,61,2.8,25,,,0.1,NE
1,257,23.2,9.6,13.2,60.1,1.9,22.7,,,0.1,W
1,271,17.5,4.2,7.5,66.5,1.7,22.2,,,0,NW
1,278,20.3,6.9,9.8,58.2,2.2,30.2,,,0,W
1,285,22.9,7.5,10.9,54.8,1.5,41,,,0,SW
1,288,23.6,8.6,12.1,52.4,2.1,14,,,0.1,NW
1,311,16.5,2.8,7.2,61.2,1.3,31.5,,,0.3,S
1,800,19.4,10.7,10.5,58.4,3.1,13.5,,,0.3,E
1,804,20.5,10.9,10.4,58.6,3.8,22.5,,,0.2,W
1,808,20.6,11.2,11.3,61.7,3.2,16.5,,,0.2,W
1,828,22,7.8,10.4,62.5,1.7,36.5,,,0.1,N
1,830,21.2,10.3,10.2,50.9,3.4,28,,,0.1,W
1,843,17.6,8.4,8.4,60.2,2.8,11,,,0.3,W
1,845,21.2,7.2,10.2,50.6,1.7,37,,,0,NW
1,846,20.5,8.3,9.4,48.9,2.6,32,,,0,W
1,852,16.9,10.7,9.9,58.7,2.4,6.5,,,0.4,SW
1,860,21.2,10.6,10.6,43.7,1.6,31,,,0.2,NW
1,905,22.5,7.4,10.7,53.7,2.1,22.5,,,0,W
1,915,21.8,5.1,10.6,60.1,3,35,,,0.2,NW
1,922,21.6,6.5,10.3,58,1.5,31.5,,,0.2,NW
1,927,21.1,6.6,9.7,59.9,1.7,29.5,,,0.2,W
1,935,22.4,5.9,10.3,57.1,1.8,30.5,,,0.2,SW
1,991,21.1,7.1,10.3,55.2,2.1,40,,,0.2,NW
1,992,20.7,6.2,9.9,61.6,2.3,33.5,,,0.1,NW
1,995,20.7,10,10,60.8,2.9,15,,,0.1,SW
2,130,17.4,9.6,9.9,74.5,2.1,11,,,0,W
2,138,14.5,10.8,9.9,70.1,1.9,10.9,,,0,SW
2,143,15.6,9.8,6.9,71.7,2.1,13.9,,,0.2,W
2,152,13,9.5,9.2,76.2,2.1,9.5,,,0.1,NW
2,159,16.7,11.5,9.6,73.6,2.8,2.4,,,0.2,SW
2,162,17.4,10.7,9.6,76.8,2.8,2.2,,,0.1,NE
2,257,16.3,10.6,7.3,79.1,1.3,2.6,,,0.2,S
2,271,10.6,7.5,3.4,87.8,1,19.9,,,0.1,N
2,278,13.1,9.2,4.2,87.1,0.9,14.2,,,0.1,W
2,285,13.5,8,5.9,90,0.8,12.7,,,0.4,SW
2,288,15.6,8.4,5.3,77.5,1.3,7.8,,,0.3,NW
2,311,10.1,3.7,3.4,89.3,0.6,20.5,,,0.2,S
2,800,15.4,9.8,9.5,76.6,1.9,13.5,,,0.1,W
2,804,14.6,10,9,77.4,2.2,9,,,0.1,S
2,808,14.4,9.9,10.4,75.2,2.4,10.5,,,0,W
2,828,14.4,8.7,4.6,93.1,1.6,11.5,,,0,N
2,830,14.6,9.9,4.7,70.6,2.3,11,,,0,W
2,843,13.8,8.5,6.1,76.3,1.9,15.5,,,0.2,W
2,845,14,8.2,5.8,78.6,0.8,14,,,0.1,W
2,846,14,9,5.5,76,1.4,12.5,,,0.1,W
2,852,17.5,9.8,10.3,73,2.5,13,,,0.1,SW
2,860,15.8,9.7,8.1,70.2,0.9,14.5,,,0.3,NW
2,905,14,10,4.7,77.8,1.5,9.5,,,0.1,NW
2,915,14.2,6.9,2.6,93.4,1.5,6.5,,,0.7,E
2,922,12.5,7.6,3.8,82.8,1.2,10.5,,,0.1,NW
2,927,12.7,6.7,3.4,85.4,1.1,12.5,,,0.2,N
2,935,14.1,7.4,4.8,88.7,1.1,12.5,,,0.1,W
2,991,13.7,7.2,5,86.1,1.2,14.5,,,0.1,NW
2,992,13.8,7.4,4,85.5,1.2,15,,,0.2,NW
2,995,12.9,9.3,8.9,82.3,1.8,9,,,0.1,SW
3,130,23.7,9.9,6.7,38.3,2.8,11,,,0,W
3,138,22.8,9.9,9.9,41,3.6,10.9,,,0,W
3,143,22.6,6.9,6.6,44.8,3,13.9,,,0.1,W
3,152,22,9.2,8.3,44.8,2.7,9.5,,,0,NW
3,159,20.7,9.6,12.4,54.8,2.8,2.4,,,0,S
3,162,20.9,9.6,9.1,58.1,2.7,2.2,,,0,W
3,257,23.7,7.3,7.2,59.5,2,2.6,,,0,SW
3,271,19.4,3.4,0.6,58.7,1.9,19.9,,,0.1,W
3,278,22.2,4.2,3,58.3,2,14.2,,,0.1,W
3,285,23,5.9,4.5,56,1.5,12.7,,,0,SW
3,288,24,5.3,6,56.8,1.7,7.8,,,0.2,W
3,311,18.2,3.4,3,54.1,1.2,20.5,,,0.3,S
3,800,22.8,9.5,6,38.1,3.7,13.5,,,0,W
3,804,21.7,9,6.4,45.9,3.9,9,,,0,W
3,808,22.9,10.4,7.8,45.3,4,10.5,,,0,W
3,828,23.5,4.6,4.8,68.1,1.3,11.5,,,0.2,NW
3,830,22.7,4.7,2.9,47.3,2.9,11,,,0.2,W
3,843,20.6,6.1,4.2,44.1,2.8,15.5,,,0.1,W
3,845,23.1,5.8,5.1,54.7,1.5,14,,,0,W
3,846,22.2,5.5,6.9,50.9,2.2,12.5,,,0,W
3,852,22.5,10.6,9.7,34.1,3.8,13,,,0.1,W
3,860,22.7,8.1,8.2,44.2,1.2,14.5,,,0.4,E
3,905,22.4,4.7,4.9,57.3,2,9.5,,,0.1,NW
