day,h,t,rh,ws,wd
2025-06-01,0,11.7,85.5,0.9,341.8
2025-06-01,1,10.9,87.4,0.9,277.9
2025-06-01,2,10.1,88.3,0,0
2025-06-01,3,9.8,88.6,0.1,291.5
2025-06-01,4,10.5,88,0.9,164.7
2025-06-01,5,10,88.5,1,347.3
2025-06-01,6,11,87.7,0.2,140
2025-06-01,7,13.5,77.8,0.2,324.8
2025-06-01,8,16.7,60.3,1.2,115
2025-06-01,9,20.7,47.5,1,116.8
2025-06-01,10,23.4,45.2,1.8,121.4
2025-06-01,11,25.9,38.6,1.9,115
2025-06-01,12,28.4,32,2.6,144.9
2025-06-01,13,27.6,45.4,3.5,111.5
2025-06-01,14,25.8,50.3,3,81
2025-06-01,15,23.3,55.8,4.1,89.9
2025-06-01,16,22.8,58,3.5,84.5
2025-06-01,17,21.7,61.6,3,90.5
2025-06-01,18,22.2,60.9,0.6,95.4
2025-06-01,19,20.4,68.6,0.8,61.2
2025-06-01,20,19,74.5,0.8,145.8
2025-06-01,21,16.8,84.5,1.1,304
2025-06-01,22,16.5,86.2,0.1,343.1
2025-06-01,23,15.8,88,0,0
2025-06-02,0,15.5,89.2,0.1,305.1
2025-06-02,1,15.4,89.9,0,0
2025-06-02,2,15.3,90.3,1.3,304.7
2025-06-02,3,15.1,90.3,0,0
2025-06-02,4,14.7,90.4,0.1,335
2025-06-02,5,14.8,90.5,0,0
2025-06-02,6,15.5,90.6,0,0
2025-06-02,7,16.8,87.7,0.2,327.8
2025-06-02,8,18.5,79,1.1,129.8
2025-06-02,9,19.9,75.3,0.8,103
2025-06-02,10,20.6,73.5,0,0
2025-06-02,11,23.4,62.1,1.3,141.5
2025-06-02,12,24.2,61.7,1.6,96
2025-06-02,13,25.3,48.5,1.9,167
2025-06-02,14,25.3,50.9,1.8,148
2025-06-02,15,24.4,55.6,2.5,268.2
2025-06-02,16,24.1,50.5,2.8,300.7
2025-06-02,17,23.4,51.3,1.7,213.9
2025-06-02,18,22.6,53.9,0.7,169.8
2025-06-02,19,22.2,47.7,2.4,129.4
2025-06-02,20,20.5,61.7,1.5,144
2025-06-02,21,20.8,58.3,1.9,175.8
2025-06-02,22,19.6,70.5,0.3,173
2025-06-02,23,19.5,69.5,0,137.7
2025-06-03,0,17.8,82,0.7,108.9
2025-06-03,1,16.8,87.6,0,0
2025-06-03,2,16.6,88.9,1.3,321.3
2025-06-03,3,16.3,89.6,0,334
2025-06-03,4,16.3,90.1,0.4,346.2
2025-06-03,5,16.3,90.4,0,311.1
2025-06-03,6,16.4,90.8,0,313.6
2025-06-03,7,16.9,88.9,0,277
2025-06-03,8,17.7,84.1,0.8,122.2
2025-06-03,9,18.7,76.2,1.7,111.7
2025-06-03,10,19.9,72.4,2.1,113.9
2025-06-03,11,21,70.6,1.4,52.8
2025-06-03,12,24.3,58.3,1.5,105.3
2025-06-03,13,26.1,46.3,2,169.6
2025-06-03,14,27,48.4,2.7,149.6
2025-06-03,15,28.4,34.1,4.6,276.6
2025-06-03,16,28.8,33.5,3.1,279.6
2025-06-03,17,27.5,30,5.2,296.3
2025-06-03,18,26.4,31.5,3.2,271.4
2025-06-03,19,25,35.4,3.1,280
2025-06-03,20,23.9,30.6,4.1,267.6
2025-06-03,21,22.8,33.3,4.9,281.9
2025-06-03,22,22,24,4.6,288.2
2025-06-03,23,21.9,21,4.5,275.9
2025-06-04,0,21.3,24.6,3.9,265.8
2025-06-04,1,20.3,25,3.7,274.1
2025-06-04,2,19.4,27.1,4.6,267.9
2025-06-04,3,18.4,30.9,4.5,269.8
2025-06-04,4,17.9,33.2,4.5,268.4
2025-06-04,5,18.2,31,4.8,268.7
2025-06-04,6,18.8,30,6.3,274.7
2025-06-04,7,20.2,29.1,6.1,277.2
2025-06-04,8,21.6,26.6,2.5,261.4
2025-06-04,9,23.1,23.1,4.4,263.6
2025-06-04,10,25,19.7,3,241.4
2025-06-04,11,27.3,16.6,5,265.8
2025-06-04,12,28,15.4,6.2,266.2
2025-06-04,13,28.4,16.3,6.5,308.5
2025-06-04,14,29,11.1,6.4,272.5
2025-06-04,15,28.7,15,7.1,286.8
2025-06-04,16,29,13.7,5.7,287.6
2025-06-04,17,28.1,16.8,6.3,297.3
2025-06-04,18,27,17.4,5.8,284.3
2025-06-04,19,24.9,20.6,4.7,299.3
2025-06-04,20,23.4,23.5,4.9,289.5
2025-06-04,21,23.4,22.2,6.1,283
2025-06-04,22,22.2,25.8,5.7,292.2
2025-06-04,23,19.7,34,2.4,331.6
2025-06-05,0,16.1,53.1,1.2,274.9
2025-06-05,1,17.9,45.5,2,297.9
2025-06-05,2,17.4,47.5,2.9,290.1
2025-06-05,3,15.8,55.9,0.8,184.1
2025-06-05,4,15.2,56.5,0.7,104.1
2025-06-05,5,14,65.2,0.7,155.3
2025-06-05,6,15.6,61,1.7,313.2
2025-06-05,7,18.8,48.4,4.5,292.4
2025-06-05,8,21.4,44.2,3.3,312.7
2025-06-05,9,23.3,36.1,1.4,313.5
2025-06-05,10,25.1,32.9,3.5,245.3
2025-06-05,11,26.9,24.4,4.4,248.3
2025-06-05,12,28.1,23.4,4.2,244.8
2025-06-05,13,28.9,23.1,4,271.3
2025-06-05,14,30.2,19.3,3.3,307.4
2025-06-05,15,30.2,21,3.9,282.8
2025-06-05,16,29.8,18.8,4.5,257.6
2025-06-05,17,29.1,22.3,3.4,267.8
2025-06-05,18,27.5,26.9,2.6,271
2025-06-05,19,25.9,29.2,1.9,254.6
2025-06-05,20,21.1,51,2.1,296.2
2025-06-05,21,18.7,64.2,2,284.7
2025-06-05,22,17.3,67.9,0,67
2025-06-05,23,15.9,75.6,1.7,260.1
2025-06-06,0,15.7,71.6,1.6,303.5
2025-06-06,1,15.1,75.9,0.3,178.6
2025-06-06,2,14,79.4,0.3,157.6
2025-06-06,3,13.5,81,0.1,156.9
2025-06-06,4,13.3,79.8,0,154.7
2025-06-06,5,13.3,78.1,0,153.6
2025-06-06,6,14.3,78.7,0.2,154.7
2025-06-06,7,18,59.8,3.7,305.6
2025-06-06,8,23,32.8,3.7,283.1
2025-06-06,9,26.7,24.6,3.3,286
2025-06-06,10,29.1,19.5,3.1,264.9
2025-06-06,11,29.1,17.5,4.6,257.1
2025-06-06,12,28.8,17.7,3.8,262.6
2025-06-06,13,30,17.5,3.3,243.1
2025-06-06,14,31.2,16.5,5,265.7
2025-06-06,15,31.5,14.8,3.4,242.1
2025-06-06,16,29.2,19.2,3.9,255.2
2025-06-06,17,28.7,20.5,3.7,254.4
2025-06-06,18,28,21.1,3.7,257.2
2025-06-06,19,26.9,25.1,3.2,251
2025-06-06,20,23.5,38.6,2,342
2025-06-06,21,20.2,50.9,2.8,299.1
2025-06-06,22,19.3,56.9,0.4,85.8
2025-06-06,23,17.1,68.2,1.2,305.9
2025-06-07,0,17.6,61.7,2.3,297.4
2025-06-07,1,15.6,71.3,1.7,315.2
2025-06-07,2,15.1,76.6,1,275.5
2025-06-07,3,16.1,64.7,0.9,334.6
2025-06-07,4,17.2,60,2.7,295.1
2025-06-07,5,16.7,60.5,2.3,338.3
2025-06-07,6,16.1,69,0.6,336.5
2025-06-07,7,19,57.7,0.6,170.3
2025-06-07,8,22.4,46.1,1,136.8
2025-06-07,9,26.1,26.3,3.1,282
2025-06-07,10,28.4,21.5,3.9,279.2
2025-06-07,11,30.1,18.5,3.2,251.8
2025-06-07,12,31.9,20.2,3,311.8
2025-06-07,13,32.4,15.4,3.6,281.2
2025-06-07,14,34.3,13.5,2.1,274.1
2025-06-07,15,33.7,8.9,2.2,268.5
