case_id,hour,vis_m,temp,hum,wind
cc0,0,140,11.9,100.0,0.0
cc0,1,140,11.8,100.0,0.3
cc0,2,140,11.2,100.0,0.2
cc0,3,150,11.0,100.0,0.0
cc0,4,130,11.1,100.0,0.1
cc0,5,160,11.2,100.0,0.3
cc0,6,260,11.3,100.0,0.2
cc0,7,190,11.0,100.0,0.1
cc0,8,240,11.3,100.0,0.1
cc0,9,4310,11.7,100.0,0.9
cc0,10,7270,13.3,100.0,0.1
cc0,11,15800,16.7,84.0,0.5
cc0,12,33330,19.8,65.0,0.8
cc0,13,29910,20.1,64.0,1.9
cc0,14,40030,21.1,52.0,3.3
cc0,15,37170,20.7,58.0,3.2
cc0,16,34820,20.6,58.0,2.8
cc0,17,37960,20.6,56.0,2.6
cc0,18,27370,18.1,66.0,1.8
cc0,19,19860,14.8,84.0,0.1
cc0,20,12060,13.8,89.0,0.0
cc0,21,7390,12.8,95.0,0.0
cc0,22,7040,11.9,97.0,0.0
cc0,23,5560,11.3,99.0,0.0
cc1,0,1250,10.5,99.0,0.0
cc1,1,1390,10.2,99.0,0.0
cc1,2,180,10.0,100.0,0.2
cc1,3,70,10.0,100.0,0.2
cc1,4,60,9.8,100.0,0.0
cc1,5,50,9.3,100.0,0.3
cc1,6,60,9.2,100.0,0.2
cc1,7,70,8.9,100.0,0.9
cc1,8,60,9.2,100.0,0.2
cc1,9,80,10.3,100.0,0.6
cc1,10,2630,12.3,100.0,1.6
cc1,11,4840,16.8,78.0,1.1
cc1,12,10610,18.6,64.0,0.9
cc1,13,10100,19.8,61.0,1.0
cc1,14,11400,20.9,56.0,1.1
cc1,15,10810,20.8,56.0,1.0
cc1,16,10710,20.9,58.0,1.0
cc1,17,11650,20.1,63.0,0.4
cc1,18,8160,17.0,81.0,0.1
cc1,19,4250,14.9,91.0,0.3
cc1,20,3020,13.9,93.0,0.4
cc1,21,1860,12.8,97.0,0.1
cc1,22,2380,12.1,97.0,0.3
cc1,23,1310,11.5,98.0,0.1
cc2,0,8660,14.2,93.0,1.4
cc2,1,5240,13.6,95.0,1.0
cc2,2,2950,12.9,99.0,1.7
cc2,3,1910,11.9,100.0,0.0
cc2,4,1380,11.4,100.0,0.2
cc2,5,1510,10.4,100.0,0.1
cc2,6,140,10.2,100.0,0.1
cc2,7,70,10.7,100.0,0.0
cc2,8,130,10.6,100.0,0.9
cc2,9,130,11.6,100.0,0.1
cc2,10,9330,14.6,100.0,0.2
cc2,11,21920,20.5,67.0,0.3
cc2,12,45310,22.7,46.0,1.5
cc2,13,50000,25.1,31.0,3.1
cc2,14,50000,25.6,29.0,3.2
cc2,15,49990,25.6,29.0,2.0
cc2,16,50000,25.0,30.0,2.3
cc2,17,50000,23.3,34.0,1.3
cc2,18,47150,18.7,50.0,0.6
cc2,19,33730,15.9,63.0,0.6
cc2,20,28230,13.7,74.0,0.2
cc2,21,24680,12.2,82.0,0.6
cc2,22,22680,11.1,86.0,0.2
cc2,23,16800,10.4,89.0,0.9
cc3,0,960,-2.0,97.0,0.5
cc3,1,870,-2.1,97.0,0.1
cc3,2,890,-2.3,97.0,0.0
cc3,3,880,-3.3,96.0,0.2
cc3,4,740,-3.5,97.0,0.3
cc3,5,450,-3.4,97.0,0.0
cc3,6,90,-3.2,98.0,0.1
cc3,7,70,-3.0,98.0,0.0
cc3,8,70,-3.1,98.0,1.1
cc3,9,50,-2.6,98.0,0.5
cc3,10,60,-1.8,99.0,0.5
cc3,11,60,-0.9,99.0,0.4
cc3,12,240,0.5,100.0,0.6
cc3,13,2860,4.2,84.0,1.4
cc3,14,9660,5.0,65.0,1.9
cc3,15,9600,4.4,69.0,2.3
cc3,16,10100,4.1,70.0,1.1
cc3,17,8570,3.8,71.0,1.1
cc3,18,6690,2.7,78.0,0.5
cc3,19,4370,1.2,85.0,0.5
cc3,20,3120,-0.3,91.0,0.0
cc3,21,2280,-1.3,93.0,0.0
cc3,22,2140,-1.5,95.0,0.0
cc3,23,2460,-0.9,93.0,0.0
cc4,0,6770,11.4,92.0,1.5
cc4,1,3870,11.1,98.0,0.1
cc4,2,16880,10.9,74.0,2.0
cc4,3,21520,10.2,74.0,2.4
cc4,4,24050,9.2,75.0,3.0
cc4,5,33650,7.8,75.0,2.0
cc4,6,36060,6.4,74.0,2.7
cc4,7,48730,5.4,65.0,2.1
cc4,8,49920,5.1,63.0,2.7
cc4,9,49890,6.3,57.0,3.1
cc4,10,50000,7.5,45.0,2.6
cc4,11,50000,8.1,41.0,3.0
cc4,12,50000,9.0,33.0,3.7
cc4,13,50000,9.5,30.0,2.7
cc4,14,50000,9.9,34.0,3.0
cc4,15,50000,9.4,34.0,4.2
cc4,16,50000,9.1,34.0,3.1
cc4,17,50000,7.0,39.0,2.6
cc4,18,50000,5.5,47.0,2.0
cc4,19,50000,5.1,47.0,2.3
cc4,20,50000,3.3,59.0,1.0
cc4,21,39940,1.1,81.0,0.3
cc4,22,38400,1.4,81.0,0.3
cc4,23,48560,1.3,74.0,0.3
