case_id,hour,pm10,wind,rain
gg0,0,107,3.2,1.0
gg0,1,93,3.7,
gg0,2,300,3.4,
gg0,3,491,3.1,0.2
gg0,4,556,2.8,
gg0,5,669,2.3,
gg0,6,675,2.4,
gg0,7,576,1.7,
gg0,8,507,2.2,
gg0,9,598,2.3,
gg0,10,697,3.6,
gg0,11,374,4.0,
gg0,12,228,4.9,
gg0,13,335,4.1,
gg0,14,253,5.3,
gg0,15,239,5.7,
gg0,16,227,5.1,
gg0,17,219,4.5,
gg0,18,215,3.2,
gg0,19,229,3.0,
gg0,20,261,3.0,
gg0,21,337,2.4,
gg0,22,434,3.0,
gg0,23,444,1.7,
gg1,0,472,2.4,
gg1,1,440,1.5,
gg1,2,400,1.0,
gg1,3,394,1.3,
gg1,4,327,1.0,
gg1,5,279,1.5,
gg1,6,258,1.2,
gg1,7,262,1.5,
gg1,8,241,1.5,
gg1,9,255,2.1,
gg1,10,340,3.1,
gg1,11,401,3.8,
gg1,12,355,3.8,
gg1,13,288,4.2,
gg1,14,298,4.7,
gg1,15,320,5.1,
gg1,16,374,5.1,
gg1,17,407,3.8,
gg1,18,384,3.3,
gg1,19,348,2.4,
gg1,20,349,1.9,
gg1,21,343,1.7,
gg1,22,282,2.6,
gg1,23,286,1.7,
gg2,0,47,1.3,
gg2,1,66,1.0,
gg2,2,69,1.8,
gg2,3,62,2.1,
gg2,4,42,2.1,
gg2,5,54,1.8,
gg2,6,48,1.9,
gg2,7,43,1.6,
gg2,8,46,2.1,
gg2,9,48,2.2,
gg2,10,53,2.8,
gg2,11,70,1.8,
gg2,12,77,1.6,
gg2,13,78,2.2,
gg2,14,71,1.8,
gg2,15,88,2.9,
gg2,16,79,1.8,
gg2,17,104,1.4,
gg2,18,108,2.0,0.0
gg2,19,103,3.3,
gg2,20,91,3.8,
gg2,21,100,2.5,1.0
gg2,22,92,3.2,
gg2,23,85,1.7,
gg3,0,52,1.2,
gg3,1,64,0.9,
gg3,2,63,1.3,
gg3,3,59,1.5,
gg3,4,53,1.7,
gg3,5,55,1.8,
gg3,6,66,1.9,
gg3,7,65,3.1,
gg3,8,55,2.4,
gg3,9,79,2.7,
gg3,10,77,3.1,
gg3,11,85,2.6,
gg3,12,111,2.7,
gg3,13,124,1.6,
gg3,14,126,4.2,
gg3,15,121,3.2,
gg3,16,116,3.9,
gg3,17,80,3.2,
gg3,18,59,2.6,
gg3,19,38,3.0,
gg3,20,26,3.8,
gg3,21,5,4.0,0.2
gg3,22,10,4.3,
gg3,23,5,3.6,
gg4,0,16,3.2,
gg4,1,12,2.1,
gg4,2,11,1.9,
gg4,3,23,1.7,
gg4,4,16,2.4,
gg4,5,6,2.1,
gg4,6,0,1.9,
gg4,7,8,2.2,
gg4,8,12,2.3,
gg4,9,12,2.0,
gg4,10,10,1.2,
gg4,11,22,1.6,
gg4,12,17,2.4,
gg4,13,10,1.7,
gg4,14,24,2.6,
gg4,15,15,3.3,
gg4,16,12,2.1,
gg4,17,3,3.2,
gg4,18,8,2.3,
gg4,19,10,3.6,
gg4,20,15,1.5,
gg4,21,15,2.0,
gg4,22,19,2.7,
gg4,23,17,1.5,
