case_id,hour,wind,dir,pres,rain
jj0,0,3.7,90.0,1005.4,0.0
jj0,1,4.0,90.0,1004.7,0.1
jj0,2,4.3,70.0,1004.1,2.2
jj0,3,2.7,70.0,1003.7,14.4
jj0,4,4.3,70.0,1002.8,10.7
jj0,5,4.0,90.0,1002.6,3.2
jj0,6,3.6,90.0,1002.5,7.1
jj0,7,4.3,90.0,1001.4,3.1
jj0,8,5.2,70.0,1001.4,1.9
jj0,9,4.9,90.0,1001.1,3.2
jj0,10,5.0,110.0,1001.1,9.9
jj0,11,5.1,110.0,1000.2,7.9
jj0,12,6.1,110.0,999.1,4.0
jj0,13,4.0,90.0,997.6,0.8
jj0,14,6.0,70.0,995.5,6.0
jj0,15,6.5,90.0,993.2,21.1
jj0,16,6.2,110.0,992.5,14.4
jj0,17,5.9,90.0,991.0,2.5
jj0,18,6.1,90.0,988.3,7.4
jj0,19,6.6,90.0,986.2,9.1
jj0,20,6.5,70.0,983.8,14.7
jj0,21,9.3,70.0,980.9,10.2
jj0,22,11.4,70.0,977.9,15.3
jj0,23,12.4,50.0,975.7,2.6
jj1,0,3.6,90.0,999.9,
jj1,1,3.2,70.0,999.7,
jj1,2,2.8,50.0,999.5,
jj1,3,3.3,70.0,998.9,
jj1,4,2.6,70.0,998.8,
jj1,5,3.0,70.0,998.7,
jj1,6,4.2,50.0,998.9,
jj1,7,4.4,50.0,998.8,
jj1,8,6.9,50.0,998.9,
jj1,9,9.7,50.0,999.1,0.0
jj1,10,10.2,50.0,999.0,0.2
jj1,11,9.1,50.0,998.9,0.2
jj1,12,7.7,50.0,998.3,0.4
jj1,13,7.9,50.0,997.8,
jj1,14,8.1,50.0,997.3,0.0
jj1,15,7.5,50.0,996.9,0.0
jj1,16,7.9,50.0,996.2,0.3
jj1,17,7.6,50.0,996.3,0.0
jj1,18,9.7,50.0,995.9,
jj1,19,8.4,50.0,996.0,
jj1,20,9.6,50.0,996.2,0.0
jj1,21,9.9,50.0,996.6,
jj1,22,10.6,50.0,995.9,
jj1,23,10.6,20.0,995.2,0.2
jj2,0,8.3,70.0,1016.9,0.5
jj2,1,7.3,70.0,1017.2,
jj2,2,7.5,50.0,1018.1,
jj2,3,7.4,50.0,1019.0,
jj2,4,6.0,70.0,1019.6,
jj2,5,6.4,50.0,1020.0,
jj2,6,5.9,50.0,1020.5,0.0
jj2,7,6.5,50.0,1021.3,
jj2,8,6.9,70.0,1022.2,
jj2,9,9.4,290.0,1022.9,2.3
jj2,10,6.9,90.0,1023.7,
jj2,11,8.7,230.0,1023.6,
jj2,12,7.0,340.0,1023.4,0.1
jj2,13,8.5,320.0,1023.2,
jj2,14,12.9,320.0,1023.0,
jj2,15,12.6,320.0,1023.5,
jj2,16,9.5,270.0,1023.8,
jj2,17,13.0,320.0,1024.3,
jj2,18,10.3,340.0,1024.7,
jj2,19,9.3,140.0,1025.4,
jj2,20,9.3,270.0,1025.8,
jj2,21,11.7,70.0,1026.4,
jj2,22,11.0,160.0,1026.1,
jj2,23,16.5,290.0,1026.0,
jj3,0,0.9,340.0,1011.3,
jj3,1,1.8,320.0,1011.2,
jj3,2,0.3,0.0,1010.6,
jj3,3,1.3,20.0,1010.2,
jj3,4,0.3,0.0,1009.6,
jj3,5,0.1,0.0,1009.1,0.0
jj3,6,0.1,0.0,1009.4,0.0
jj3,7,1.9,230.0,1009.5,0.0
jj3,8,1.2,200.0,1009.4,0.0
jj3,9,1.3,340.0,1009.3,0.0
jj3,10,1.4,360.0,1009.0,
jj3,11,3.1,340.0,1009.1,
jj3,12,2.5,20.0,1008.4,
jj3,13,3.0,340.0,1008.2,
jj3,14,3.3,340.0,1007.4,
jj3,15,2.8,320.0,1006.8,
jj3,16,3.2,320.0,1006.3,
jj3,17,2.8,320.0,1006.0,
jj3,18,2.8,290.0,1006.0,
jj3,19,2.4,290.0,1006.5,
jj3,20,2.3,290.0,1006.9,
jj3,21,3.0,270.0,1007.4,
jj3,22,2.9,270.0,1007.7,
jj3,23,2.5,250.0,1007.5,
