case_id,hour,pm10
pa0,0,107
pa0,1,93
pa0,2,300
pa0,3,491
pa0,4,556
pa0,5,669
pa0,6,675
pa0,7,576
pa0,8,507
pa0,9,598
pa0,10,697
pa0,11,374
pa0,12,228
pa0,13,335
pa0,14,253
pa0,15,239
pa0,16,227
pa0,17,219
pa0,18,215
pa0,19,229
pa0,20,261
pa0,21,337
pa0,22,434
pa0,23,444
pa1,0,472
pa1,1,440
pa1,2,400
pa1,3,394
pa1,4,327
pa1,5,279
pa1,6,258
pa1,7,262
pa1,8,241
pa1,9,255
pa1,10,340
pa1,11,401
pa1,12,355
pa1,13,288
pa1,14,298
pa1,15,320
pa1,16,374
pa1,17,407
pa1,18,384
pa1,19,348
pa1,20,349
pa1,21,343
pa1,22,282
pa1,23,286
pa2,0,15
pa2,1,43
pa2,2,43
pa2,3,26
pa2,4,27
pa2,5,35
pa2,6,26
pa2,7,25
pa2,8,31
pa2,9,27
pa2,10,36
pa2,11,39
pa2,12,33
pa2,13,30
pa2,14,43
pa2,15,24
pa2,16,24
pa2,17,24
pa2,18,31
pa2,19,20
pa2,20,17
pa2,21,19
pa2,22,18
pa2,23,23
